locale,mechanical_gate,native_status,final_quality_status,required_messages,mechanical_issues,missing_messages,empty_messages,invalid_icu,structural_mismatches,mojibake,unsafe_html,native_script_issues,exact_english_fallbacks,untracked_english_fallbacks,actionable_review_pairs,native_audit_pairs,native_rule,native_letters_percent_all_text,native_letters_percent_translated_text,native_letters_percent_confirmed_text,translated_messages_with_native_script,translated_messages_without_fallback,confirmed_messages_with_native_script,confirmed_translated_messages
en,PASS,source,SOURCE,4925,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
bn,PASS,translation-repair-required,NOT_FINAL,4925,0,0,0,0,0,0,0,0,1469,0,1471,3250,Bengali,53.98,98.01,91.76,3252,3453,57,204
hi,PASS,translation-repair-required,NOT_FINAL,4925,0,0,0,0,0,0,0,0,1434,0,1417,3304,Devanagari,33.43,58.16,89.51,2521,3488,56,204
te,PASS,translation-repair-required,NOT_FINAL,4925,0,0,0,0,0,0,0,0,1549,0,1551,3374,Telugu,52.15,96.66,,3227,3373,0,0
mr,PASS,translation-repair-required,NOT_FINAL,4925,0,0,0,0,0,0,0,0,1543,0,1545,3380,Devanagari,51.39,97.45,,3234,3379,0,0
ur,PASS,translation-repair-required,NOT_FINAL,4925,0,0,0,0,0,0,0,0,1533,0,1534,3231,Arabic,61.29,97.80,61.73,3233,3389,59,160
gu,PASS,translation-repair-required,NOT_FINAL,4925,0,0,0,0,0,0,0,0,1578,0,1580,3345,Gujarati,50.28,97.02,,3199,3344,0,0
pa,PASS,translation-repair-required,NOT_FINAL,4925,0,0,0,0,0,0,0,0,1564,0,1566,3359,Gurmukhi,49.88,97.04,,3212,3358,0,0
ml,PASS,translation-repair-required,NOT_FINAL,4925,0,0,0,0,0,0,0,0,1552,0,1554,3371,Malayalam,55.71,97.78,,3224,3370,0,0
kn,PASS,translation-repair-required,NOT_FINAL,4925,0,0,0,0,0,0,0,0,1546,0,1548,3377,Kannada,53.77,96.90,,3230,3376,0,0
or,PASS,translation-repair-required,NOT_FINAL,4925,0,0,0,0,0,0,0,0,1588,0,1590,3335,Odia,50.63,95.13,,3185,3334,0,0
as,PASS,translation-repair-required,NOT_FINAL,4925,0,0,0,0,0,0,0,0,1532,0,1533,3392,Bengali,54.19,96.93,,3241,3390,0,0
sa,PASS,translation-repair-required,NOT_FINAL,4925,0,0,0,0,0,0,0,0,1562,0,1563,3362,Devanagari,52.53,95.46,,3214,3360,0,0
es,PASS,translation-repair-required,NOT_FINAL,4925,0,0,0,0,0,0,0,0,1544,0,1539,3386,,,,,0,0,0,0
fr,PASS,translation-repair-required,NOT_FINAL,4925,0,0,0,0,0,0,0,0,1562,0,1558,3367,,,,,0,0,0,0
de,PASS,translation-repair-required,NOT_FINAL,4925,0,0,0,0,0,0,0,0,1569,0,1559,3366,,,,,0,0,0,0
ar,PASS,translation-repair-required,NOT_FINAL,4925,0,0,0,0,0,0,0,0,1456,0,1452,3269,Arabic,42.42,68.69,90.50,2173,3466,56,204
ja,PASS,translation-repair-required,NOT_FINAL,4925,0,0,0,0,0,0,0,0,1481,0,1471,3454,Japanese,28.53,47.20,,2252,3441,0,0
pt,PASS,translation-repair-required,NOT_FINAL,4925,0,0,0,0,0,0,0,0,1539,0,1533,3392,,,,,0,0,0,0
zh,PASS,translation-repair-required,NOT_FINAL,4925,0,0,0,0,0,0,0,0,1469,0,1465,3460,Han,20.16,39.01,,2246,3453,0,0
en-XA,PASS,pseudo-locale,PSEUDO_LOCALE,4925,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
